timestamp;TIME;latitude;longitude;locked
20250715_153258.020284;20250715;0;0;searching
20250715_153258.353262;20250715;0;0;searching
20250715_153258.693415;20250715;0;0;searching
20250715_153259.034909;20250715;0;0;searching
20250715_153259.368348;20250715;0;0;searching
20250715_153259.701825;20250715;0;0;searching
20250715_153300.049560;20250715;0;0;searching
20250715_153300.389510;20250715;0;0;searching
20250715_153300.721368;20250715;0;0;searching
20250715_153301.058062;20250715;0;0;searching
20250715_153301.395457;20250715;0;0;searching
20250715_153301.745665;20250715;0;0;searching
20250715_153302.080187;20250715;0;0;searching
20250715_153302.415642;20250715;0;0;searching
20250715_153302.752288;20250715;0;0;searching
20250715_153303.087877;20250715;0;0;searching
20250715_153303.417595;20250715;0;0;searching
20250715_153303.750052;20250715;0;0;searching
20250715_153304.091703;20250715;0;0;searching
20250715_153304.422993;20250715;0;0;searching
20250715_153304.760247;20250715;0;0;searching
20250715_153305.095680;20250715;0;0;searching
20250715_153305.430298;20250715;0;0;searching
20250715_153305.787019;20250715;0;0;searching
20250715_153306.122254;20250715;0;0;searching
20250715_153306.467589;20250715;0;0;searching
20250715_153306.811548;20250715;0;0;searching
20250715_153307.148399;20250715;0;0;searching
20250715_153307.493799;20250715;0;0;searching
20250715_153307.836381;20250715;0;0;searching
20250715_153308.234848;20250715;0;0;searching
20250715_153308.570545;20250715;0;0;searching
20250715_153308.915881;20250715;0;0;searching
20250715_153309.250637;20250715;0;0;searching
20250715_153309.578684;20250715;0;0;searching
20250715_153309.906975;20250715;0;0;searching
20250715_153310.234243;20250715;0;0;searching
20250715_153310.568067;20250715;0;0;searching
20250715_153310.902455;20250715;0;0;searching
20250715_153311.239730;20250715;0;0;searching
20250715_153311.588790;20250715;0;0;searching
20250715_153311.929110;20250715;0;0;searching
20250715_153312.272874;20250715;0;0;searching
20250715_153312.606747;20250715;0;0;searching
20250715_153312.936503;20250715;0;0;searching
20250715_153313.280147;20250715;0;0;searching
20250715_153313.614841;20250715;0;0;searching
20250715_153313.945567;20250715;0;0;searching
20250715_153314.280762;20250715;0;0;searching
20250715_153314.620495;20250715;0;0;searching
20250715_153314.963303;20250715;0;0;searching
20250715_153315.307062;20250715;0;0;searching
20250715_153315.649287;20250715;0;0;searching
20250715_153315.986763;20250715;0;0;searching
20250715_153316.324996;20250715;0;0;searching
20250715_153316.683549;20250715;0;0;searching
20250715_153317.023853;20250715;0;0;searching
20250715_153317.379573;20250715;0;0;searching
20250715_153317.729096;20250715;0;0;searching
20250715_153318.073886;20250715;0;0;searching
20250715_153318.411515;20250715;0;0;searching
20250715_153318.745278;20250715;0;0;searching
20250715_153319.077373;20250715;0;0;searching
20250715_153319.408024;20250715;0;0;searching
20250715_153319.741532;20250715;0;0;searching
20250715_153320.073558;20250715;0;0;searching
20250715_153320.408301;20250715;45.87071333;8.979908333;locked
20250715_153320.741538;20250715;0;0;searching
20250715_153321.076957;20250715;0;0;searching
20250715_153321.412728;20250715;0;0;searching
20250715_153321.762676;20250715;0;0;searching
20250715_153322.094104;20250715;0;0;searching
20250715_153322.432579;20250715;45.870705;8.979858333;locked
20250715_153322.766012;20250715;0;0;searching
20250715_153323.092317;20250715;0;0;searching
20250715_153323.435917;20250715;0;0;searching
20250715_153323.770026;20250715;0;0;searching
20250715_153324.113075;20250715;0;0;searching
20250715_153324.448313;20250715;45.8707;8.979845;locked
20250715_153324.781669;20250715;0;0;searching
