timestamp,latitude,longitude,locked
20250715_153304.422993,0.0,0.0,searching
20250715_153304.760247,0.0,0.0,searching
20250715_153305.095680,0.0,0.0,searching
20250715_153305.430298,0.0,0.0,searching
20250715_153305.787019,0.0,0.0,searching
20250715_153306.122254,0.0,0.0,searching
20250715_153306.467589,0.0,0.0,searching
20250715_153306.811548,0.0,0.0,searching
20250715_153307.148399,0.0,0.0,searching
20250715_153307.493799,0.0,0.0,searching
20250715_153307.836381,0.0,0.0,searching
20250715_153308.234848,0.0,0.0,searching
20250715_153308.570545,0.0,0.0,searching
20250715_153308.915881,0.0,0.0,searching
20250715_153309.250637,0.0,0.0,searching
20250715_153309.578684,0.0,0.0,searching
20250715_153309.906975,0.0,0.0,searching
20250715_153310.234243,0.0,0.0,searching
20250715_153310.568067,0.0,0.0,searching
20250715_153310.902455,0.0,0.0,searching
20250715_153311.239730,0.0,0.0,searching
20250715_153311.588790,0.0,0.0,searching
20250715_153311.929110,0.0,0.0,searching
20250715_153312.272874,0.0,0.0,searching
20250715_153312.606747,0.0,0.0,searching
20250715_153312.936503,0.0,0.0,searching
20250715_153313.280147,0.0,0.0,searching
20250715_153313.614841,0.0,0.0,searching
20250715_153313.945567,0.0,0.0,searching
20250715_153314.280762,0.0,0.0,searching
20250715_153314.620495,0.0,0.0,searching
20250715_153314.963303,0.0,0.0,searching
20250715_153315.307062,0.0,0.0,searching
20250715_153315.649287,0.0,0.0,searching
20250715_153315.986763,0.0,0.0,searching
20250715_153316.324996,0.0,0.0,searching
20250715_153316.683549,0.0,0.0,searching
20250715_153317.023853,0.0,0.0,searching
20250715_153317.379573,0.0,0.0,searching
20250715_153317.729096,0.0,0.0,searching
20250715_153318.073886,0.0,0.0,searching
20250715_153318.411515,0.0,0.0,searching
20250715_153318.745278,0.0,0.0,searching
20250715_153319.077373,0.0,0.0,searching
20250715_153319.408024,0.0,0.0,searching
20250715_153319.741532,0.0,0.0,searching
20250715_153320.073558,0.0,0.0,searching
20250715_153320.408301,45.870713333333335,8.979908333333332,locked
20250715_153320.741538,0.0,0.0,searching
20250715_153321.076957,0.0,0.0,searching
20250715_153321.412728,0.0,0.0,searching
20250715_153321.762676,0.0,0.0,searching
20250715_153322.094104,0.0,0.0,searching
20250715_153322.432579,45.870705,8.979858333333334,locked
20250715_153322.766012,0.0,0.0,searching
20250715_153323.092317,0.0,0.0,searching
20250715_153323.435917,0.0,0.0,searching
20250715_153323.770026,0.0,0.0,searching
20250715_153324.113075,0.0,0.0,searching
20250715_153324.448313,45.87070000000001,8.979845000000001,locked
20250715_153324.781669,0.0,0.0,searching
20250715_153325.115663,0.0,0.0,searching
20250715_153325.452037,0.0,0.0,searching
20250715_153325.794588,0.0,0.0,searching
20250715_153326.132960,0.0,0.0,searching
20250715_153326.468413,45.87069499999999,8.979831666666666,locked
20250715_153326.824621,0.0,0.0,searching
20250715_153327.166678,0.0,0.0,searching
20250715_153327.505339,0.0,0.0,searching
20250715_153327.841918,0.0,0.0,searching
20250715_153328.182263,0.0,0.0,searching
20250715_153328.516157,45.870689999999996,8.97982,locked
20250715_153328.851750,0.0,0.0,searching
20250715_153329.198270,0.0,0.0,searching
20250715_153329.541564,0.0,0.0,searching
20250715_153329.874194,0.0,0.0,searching
20250715_153330.206871,0.0,0.0,searching
20250715_153330.536032,45.87068666666667,8.979809999999999,locked
20250715_153330.880944,0.0,0.0,searching
20250715_153331.217509,0.0,0.0,searching
20250715_153331.559260,0.0,0.0,searching
20250715_153331.905038,0.0,0.0,searching
20250715_153332.245577,0.0,0.0,searching
20250715_153332.587435,45.870689999999996,8.979806666666667,locked
20250715_153332.918368,0.0,0.0,searching
20250715_153333.269389,0.0,0.0,searching
20250715_153333.603150,0.0,0.0,searching
20250715_153333.939726,0.0,0.0,searching
